 TERM	 COLLEGE	 DEPARTMENT	 CRN	 SUBJ	 NUM	 SECT	 TITLE	 SCHEDULE	 ENROLLMENT
 Summer 2012	 Liberal Arts & Sciences	 Statistics	 36918	 STAT	 100	 ONL	 Statistics	 Online	 73
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 37058	 ANTH	 143	 1	 Biology of Human Behavior	 Online	 26
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57526	 ANTH	 143	 10	 Biology of Human Behavior	 Online	 23
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57527	 ANTH	 143	 11	 Biology of Human Behavior	 Online	 27
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57528	 ANTH	 143	 12	 Biology of Human Behavior	 Online	 29
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57529	 ANTH	 143	 13	 Biology of Human Behavior	 Online	 28
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57530	 ANTH	 143	 14	 Biology of Human Behavior	 Online	 30
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57531	 ANTH	 143	 15	 Biology of Human Behavior	 Online	 25
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57532	 ANTH	 143	 16	 Biology of Human Behavior	 Online	 26
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57552	 ANTH	 143	 17	 Biology of Human Behavior	 Online	 30
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57553	 ANTH	 143	 18	 Biology of Human Behavior	 Online	 24
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57554	 ANTH	 143	 19	 Biology of Human Behavior	 Online	 30
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57518	 ANTH	 143	 2	 Biology of Human Behavior	 Online	 24
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57555	 ANTH	 143	 20	 Biology of Human Behavior	 Online	 30
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57556	 ANTH	 143	 21	 Biology of Human Behavior	 Online	 30
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57557	 ANTH	 143	 22	 Biology of Human Behavior	 Online	 30
