 TERM	 COLLEGE	 DEPARTMENT	 CRN	 SUBJ	 NUM	 SECT	 TITLE	 SCHEDULE	 ENROLLMENT
 Summer 2013 	 Liberal Arts & Sciences	 School of Molecular & Cell Bio	 36346	 MCB	 150	 ONL	 Molec & Cellular Basis of Life	 Online	 53
 Summer 2013 	 Liberal Arts & Sciences	 School of Molecular & Cell Bio	 36347	 MCB	 215	 ONL	 Foundation in Mol & Cell Bio	 Online	 19
 Summer 2013 	 Liberal Arts & Sciences	 Slavic Languages & Literature	 36914	 RUSS	 101	 A	 First-Year Russian I	 Online	 5
 Summer 2013 	 Liberal Arts & Sciences	 Slavic Languages & Literature	 37371	 RUSS	 102	 A	 First-Year Russian II	 Online	 3
 Summer 2013 	 Liberal Arts & Sciences	 Sociology	 37476	 SOC	 100	 AD1	 Introduction to Sociology	 Online	 22
 Summer 2013 	 Liberal Arts & Sciences	 Sociology	 37477	 SOC	 100	 AD2	 Introduction to Sociology	 Online	 21
 Summer 2013 	 Liberal Arts & Sciences	 Sociology	 37478	 SOC	 100	 AD3	 Introduction to Sociology	 Online	 21
 Summer 2013 	 Liberal Arts & Sciences	 Sociology	 37479	 SOC	 100	 AD4	 Introduction to Sociology	 Online	 24
 Summer 2013 	 Liberal Arts & Sciences	 Sociology	 36336	 SOC	 100	 ONL	 Introduction to Sociology	 Online	 88
 Summer 2013 	 Liberal Arts & Sciences	 Sociology	 27292	 SOC	 400	 ONL	 Internships	 Online	 11
 Summer 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 37329	 ITAL	 101	 LH1	 Elementary Italian I	 Online	 3
 Summer 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 37331	 ITAL	 101	 LH2	 Elementary Italian I	 Online	 2
 Summer 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 37333	 ITAL	 101	 LH3	 Elementary Italian I	 Online	 3
 Summer 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 37335	 ITAL	 101	 LH4	 Elementary Italian I	 Online	 4
 Summer 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 37337	 ITAL	 101	 LH5	 Elementary Italian I	 Online	 2
 Summer 2013 	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 33509	 SPAN	 200	 2A	 Readings in Hispanic Texts	 Online	 14
 Summer 2013 	 Liberal Arts & Sciences	 Statistics	 36919	 MATH	 161	 ONL	 Statistics	 Online	 12
 Summer 2013 	 Liberal Arts & Sciences	 Statistics	 36918	 STAT	 100	 ONL	 Statistics	 Online	 87
